viaje_id,fecha,hora_salida,origen,destino,distancia_km,tipo_ruta,condicion_climatica,nivel_trafico,tipo_vehiculo,cantidad_paradas,es_hora_pico,es_fin_de_semana,carga_kg,tiene_refrigeracion,eta_horas,eta_minutos
VJ-10000,2023-03-09,21:00,Moron,Palermo,204.0,urbana,despejado,moderado,camion_mediano,0,0,0,18370,1,7.5503,453
VJ-10001,2022-06-13,08:00,San Miguel,CABA,316.4,urbana,lluvia_leve,muy_alto,semi_trailer,4,1,0,712,0,34.4392,2066
VJ-10002,2022-02-14,03:00,Cordoba,Mendoza,152.1,autopista,despejado,muy_alto,camion_grande,3,0,0,11770,0,4.7487,285
VJ-10003,2022-03-23,02:00,Buenos Aires,Mendoza,812.5,urbana,lluvia_leve,alto,camion_grande,5,0,1,7967,0,49.1781,2951
VJ-10004,2023-10-26,06:00,Tigre,Ezeiza,236.1,urbana,despejado,moderado,camion_grande,2,0,0,23497,0,9.438,566
VJ-10005,2022-03-09,07:00,Buenos Aires,Mar del Plata,961.6,rural,despejado,alto,camion_mediano,0,1,0,10836,0,21.6218,1297
VJ-10006,2023-08-22,07:00,San Miguel,CABA,208.6,autopista,despejado,alto,semi_trailer,1,1,0,18161,0,4.4676,268
VJ-10007,2023-09-03,21:00,Buenos Aires,Cordoba,222.4,mixta,despejado,bajo,camion_pequeno,1,0,0,2581,0,4.1905,251
VJ-10008,2022-12-15,21:00,Tucuman,Cordoba,955.6,autopista,granizo,alto,camion_pequeno,0,0,0,9243,0,21.9236,1315
VJ-10009,2024-02-20,20:00,Quilmes,San Isidro,1220.0,autopista,granizo,alto,camion_pequeno,2,0,0,7017,1,31.1404,1868
VJ-10010,2022-03-29,07:00,Lomas de Zamora,Pilar,1301.4,urbana,lluvia_leve,alto,camion_pequeno,2,1,1,19091,0,72.342,4341
VJ-10011,2023-12-08,13:00,Tucuman,Cordoba,378.4,rural,despejado,moderado,camion_mediano,4,0,0,18171,0,6.893,414
VJ-10012,2023-08-26,03:00,Rosario,Cordoba,1260.5,mixta,granizo,moderado,semi_trailer,3,0,1,2598,0,55.8368,3350
VJ-10013,2024-01-11,08:00,Quilmes,San Isidro,108.5,urbana,despejado,muy_alto,camion_grande,1,1,0,7520,0,9.0155,541
VJ-10014,2024-01-17,21:00,San Miguel,CABA,274.7,mixta,despejado,moderado,semi_trailer,0,0,0,14379,0,7.4192,445
VJ-10015,2023-04-19,17:00,Buenos Aires,La Plata,355.6,mixta,lluvia_fuerte,muy_alto,camion_pequeno,1,1,0,14324,1,20.1612,1210
VJ-10016,2023-05-13,00:00,Lanus,San Martin,80.3,urbana,despejado,alto,camion_pequeno,4,0,0,8245,1,5.3378,320
VJ-10017,2023-05-14,23:00,Buenos Aires,Cordoba,406.5,mixta,despejado,moderado,semi_trailer,5,0,0,18711,0,11.8296,710
VJ-10018,2023-06-28,01:00,Rosario,Cordoba,1049.7,rural,granizo,moderado,camion_pequeno,0,0,0,16977,0,28.1178,1687
